㛖	女厶丿乚夂
㛗	女土人人
㛘	女&CDP-8D52;子
㛙	女立&A-IWDSU+5341;
㛚	女龴冂二丨
㛛	女身
㛜	&CDP-8B7A;丿一乂女
㛝	女貝
㛞	女王廾
㛟	女⺈&CDP-8BC0;大
㛠	女⻔日
㛡	女宀一兀
㛢	女禾乃
㛣	女口贝
㛤	女一冂丶冂丶
㛥	女水日
㛦	女木木
㛧	女山石
㛨	女⺶乚
㛩	女亠厶&CDP-8958;
㛪	女大电
㛫	女日勹&CDP-89A6;
㛬	女土丿乚土
㛭	女卄一日
㛮	女宀火又
㛯	女⺈&CDP-8BCB;力
㛰	女民日
㛱	女田一&CDP-8CC6;
㛲	女頁
㛳	&CDP-8BEC;巾女
㛴	女𡿨𡿨𡿨&CDP-8CC8;㐅
㛵	女爫冉
㛶	女山厂火
㛶	女山𠂇火
㛷	禾尤女
㛸	女十一口䒑
㛸	女十&C4-2147;䒑
㛸	女士口䒑
㛹	女亻更
㛺	女音
㛻	女大土土
㛼	女臿
㛽	女宀米
㛾	女戊一口
㛿	女&CDP-89D7;冖巾
㛿	女&CDP-89D7;冖巾
㜀	女木目
㜁	女木日一
㜂	土土寸女
㜃	女亻言
㜄	女風
㜅	女玄田
㜆	女辶米
㜇	女土土心
㜈	矛&CDP-8C64;女
㜉	女𡿨𡿨𡿨邑
㜊	女尸&CDP-8CE5;
㜋	女&CDP-8CF0;皿
㜌	&CDP-8D44;几又女
㜍	女广&CDP-8CC1;
㜎	女&CDP-8CC5;大
㜏	女口貝
㜐	女山一口䒑
㜐	女山&C4-2147;䒑
㜑	氵甫女
㜒	女臼廾
㜓	女艹&CDP-8AFC;口
㜔	女立口丿乚
㜕	女辶車
㜖	女&CDP-8D61;曰
㜗	女厶厶厶𠆢丿丿丿
㜘	女虍且
㜙	女鹿
㜚	女宀亻一白
㜛	女車欠
㜜	女方丿一乂土
㜜	女&CDP-8DB2;丿一乂
㜝	女𠆢一㇇酉
㜝	女𠆢丶𠃍酉
㜞	車斤女
㜟	女工丿一乂𤮺
㜠	女山隹
㜡	女彳&CDP-8BB0;
㜢	女&CDP-89C5;女
㜣	女&CDP-8BB5;灬
㜤	女覀日十
㜥	女⺫貝
㜦	女彐寸&CDP-8CFA;
㜧	女厂䒑&AJ1-04248;丿欠
㜨	女尸&CDP-8D6F;
㜩	女&CDP-8D7C;大
㜪	立木斤女
㜫	女彳山兀丿一乂
㜬	女⺈厂&CDP-8CC3;
㜭	女小冖口田
㜮	女&CDP-8CC9;皿
㜯	女𦣝巳灬
㜰	女幺幺木白
㜰	女&A-CDP-8BF4;木
㜱	女斤斤貝
㜲	女亡口月几丶女
㜳	女衣⺫&CDP-8C41;
㜴	女&CDP-8D60;目
㜵	女衣馬
㜶	女⺈口比⺈&CDP-8BCB;丶
㜷	弓一&CDP-88D6;女
㜸	艹𠂤立&A-IWDSU+5341;女
㜹	女目目隹
㜺	女⺧丿乚⺧丿乚貝
㜻	女糸言糸心
㜼	女田田田冖且
㜽	𡿨𡿨𡿨子
㜾	子𠆢&CDP-89AB;
㜿	子予
㝀	母子
㝁	勹日子
㝂	子扌斤
㝃	子⺈&CDP-8BCB;
㝄	亠口子屯
㝅	&CDP-8D44;几又子
㝆	子十一口䒑口
㝆	子十&C4-2147;䒑口
㝆	子士口䒑口
㝇	亠口子亠口子
㝈	糸言糸子子
㝉	宀一
㝊	宀又
㝋	宀了
㝌	宀久
㝍	宀&CDP-8BBF;一
㝎	宀之
㝏	宀𠆢&CDP-89AB;
㝐	宀八厶
㝑	宀方
㝒	宀十口
㝓	宀&CDP-8AFC;口
㝔	宀亠父
㝕	宀心又
㝖	宀夕夕
㝗	宀丶艮
㝘	宀言
㝙	宀王一八
㝚	宀廴&CDP-8D62;
㝛	宀亻㐁
㝜	宀卄一日
㝝	宀木木
㝞	宀亞
㝟	宀一見
㝠	宀日亠&GT-K00059;
㝡	宀耳又
㝢	宀禹
㝣	宀丰刀大
㝤	宀三丨丨冉
㝥	宀爿米
㝦	宀隹乃
㝧	宀女土人人
㝨	宀十一𧘇口
㝨	宀土口𧘇
㝩	宀广隶
㝪	宀土丶丿干丸
㝫	宀⻖夂一生
㝫	宀⻖夂一生
㝬	宀丰口夫
㝭	宀忄日生
㝮	宀屮凵示又
㝯	宀丿大口冂口
㝯	宀丿大口冂口
㝰	宀自宀八方
㝱	宀爿艹⺫冖夕
㝲	宀爿&CDP-8D60;彐冖巾
㝲	宀爿&CDP-8D60;彐冖巾
㝳	一⺗
㝴	一兀寸
㝵	日一寸
㝶	⺫丿乚寸
㝷	彐寸工丸
㝷	彐工丸寸
㝸	小白丿乚
㝹	小丿⺈&CDP-8BCB;丶
㝺	䒑&CDP-8CDE;小丿
㝻	廿&CDP-8A6D;小丿
㝼	尢于
㝽	尢水
㝾	尢𠂇工
㝿	尢皮
㞀	尢𠂇火
㞁	尢日匕
㞂	尢爫女
㞃	谷尤
㞄	尢大电
㞅	尢果
㞆	尢大&CDP-8974;口
㞇	尢田一&CDP-8CC6;
㞈	尢户冂卄
㞉	尢⺶工
㞊	屮凵示尢
㞋	尸又
㞌	尸子
㞍	尸丸
㞎	尸巴
㞏	尸丿之
㞐	尸立
㞑	尸&CDP-85A9;
㞒	尸自
㞓	尸匕日
㞔	尸夕夕
㞕	尸八月
㞖	尸朿
㞗	尸求
㞘	尸一𧰨丶
㞙	尸毛水
㞚	尸臿
㞛	尸彳匕日
㞜	尸彳禾女
㞝	戊上小尸
㞞	尸彳&CDP-8BB0;
㞟	尸丶丿酉大
㞠	尸𡗜日小
㞡	尸工工工工𧘇
㞢	屮一
㞣	&AJ1-04248;丿八刀
㞤	山人
㞥	山入
㞦	山几
㞧	山乃
㞨	山子
㞩	山几丶
㞪	彐山
㞫	山之
㞬	山工
㞭	大山
㞮	山𠚤
㞯	己山
㞰	山丿一十
㞱	山日
㞲	山中
㞳	山斗
㞴	山氏
㞵	山文
㞶	山文
㞷	屮王
㞸	山不
㞹	山&CDP-8974;口
㞺	山矢
㞻	山口丂
㞼	氶山
㞽	山戉
㞾	山尸匕
㞿	山土乂
㟀	禾山
㟁	山厂干
㟂	山母
㟃	山𠃌一口
㟄	山羊
㟅	山凵㐅丿乚
㟆	山亻乚丿十
㟇	山土人人
㟈	山求
㟉	山宀牛
㟊	山爫子
㟋	山丶丿口丿乚
㟋	山丶丿口丿乚
㟌	山尤丿丿丿
㟍	山丶艮
㟎	山爫女
㟏	山𠆢一㇇口
㟏	山𠆢丶𠃍口
㟐	山艹亡
㟑	山&CDP-8D52;子
㟒	山尹口
㟓	山㐅𠂇巾
㟔	山𠆢一㇇口
㟔	山𠆢丶𠃍口
㟕	山口斗
㟖	山王廾
㟗	山八刀八刀
㟘	山冂二丨口
㟙	山卄一日
㟚	木十又山
㟛	山扌甘
㟜	山弓&CDP-8DD8;小
㟝	山立口
㟞	山戈戈
㟟	山卄&GT-K00264;㔾
㟟	山卄一&GT-K00059;㔾
㟠	山冂&CDP-8CC7;
㟡	山丶丿夫㔾
㟢	山大&CDP-8974;口
㟣	山木八厶
㟤	山彐⺢
㟥	山&GT-K01085;丿丿丿
㟦	山冖車
㟧	山口口一丂
㟨	山山而
㟩	民丿一乂山
㟪	山田一&CDP-8CC6;
㟫	山白水
